comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,5,5,pack,180,200,0.645,0.015,0.340,0.586,29.0,1.59,0.618,0.520,0.851
trio-core,5,5,pack,300,200,0.710,0.010,0.280,0.575,28.9,1.49,0.589,0.529,0.932
trio-core,5,5,boss,180,200,1.000,0.000,0.000,0.950,53.8,0.00,0.050,1.000,1.505
trio-core,5,5,boss,300,200,1.000,0.000,0.000,0.950,53.7,0.00,0.050,1.000,1.504
trio-core,5,6,solo,180,200,1.000,0.000,0.000,0.936,10.0,0.00,0.064,1.000,1.497
trio-core,5,6,solo,300,200,1.000,0.000,0.000,0.938,9.9,0.00,0.062,1.000,1.498
trio-core,5,6,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.405,0.000
trio-core,5,6,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.402,0.000
trio-core,5,6,boss,180,200,0.010,0.000,0.990,0.653,69.3,2.98,0.993,0.363,0.014
trio-core,5,6,boss,300,200,0.015,0.000,0.985,0.577,70.1,2.97,0.991,0.376,0.020
trio-core,5,7,solo,180,200,1.000,0.000,0.000,0.953,12.6,0.00,0.047,1.000,1.506
trio-core,5,7,solo,300,200,1.000,0.000,0.000,0.945,12.5,0.00,0.055,1.000,1.502
trio-core,5,7,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.431,0.000
trio-core,5,7,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.426,0.000
trio-core,5,7,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.383,0.000
trio-core,5,7,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.375,0.000
trio-core,5,8,solo,180,200,1.000,0.000,0.000,0.876,17.9,0.00,0.124,1.000,1.467
trio-core,5,8,solo,300,200,1.000,0.000,0.000,0.882,17.9,0.00,0.118,1.000,1.470
trio-core,5,8,pack,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.433,0.000
trio-core,5,8,pack,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.434,0.000
trio-core,5,8,boss,180,200,0.000,0.000,1.000,—,—,3.00,1.000,0.370,0.000
trio-core,5,8,boss,300,200,0.000,0.000,1.000,—,—,3.00,1.000,0.372,0.000
trio-core,10,1,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,1,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,1,pack,180,200,1.000,0.000,0.000,0.943,4.1,0.00,0.057,1.000,1.530
trio-core,10,1,pack,300,200,1.000,0.000,0.000,0.943,4.1,0.00,0.057,1.000,1.530
trio-core,10,1,boss,180,200,1.000,0.000,0.000,0.924,8.6,0.00,0.076,1.000,1.521
trio-core,10,1,boss,300,200,1.000,0.000,0.000,0.926,8.5,0.00,0.074,1.000,1.521
trio-core,10,2,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,2,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,2,pack,180,200,1.000,0.000,0.000,0.914,5.9,0.00,0.086,1.000,1.515
trio-core,10,2,pack,300,200,1.000,0.000,0.000,0.914,5.9,0.00,0.086,1.000,1.515
trio-core,10,2,boss,180,200,1.000,0.000,0.000,0.864,11.8,0.00,0.136,1.000,1.489
trio-core,10,2,boss,300,200,1.000,0.000,0.000,0.863,11.8,0.00,0.137,1.000,1.489
trio-core,10,3,solo,180,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,3,solo,300,200,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,3,pack,180,200,1.000,0.000,0.000,0.859,6.9,0.00,0.141,1.000,1.487
trio-core,10,3,pack,300,200,1.000,0.000,0.000,0.860,6.8,0.00,0.140,1.000,1.487
trio-core,10,3,boss,180,200,1.000,0.000,0.000,0.984,18.2,0.00,0.016,1.000,1.551
trio-core,10,3,boss,300,200,1.000,0.000,0.000,0.982,18.3,0.00,0.018,1.000,1.551
trio-core,10,4,solo,180,200,1.000,0.000,0.000,0.965,1.7,0.00,0.035,1.000,1.542
trio-core,10,4,solo,300,200,1.000,0.000,0.000,0.965,1.7,0.00,0.035,1.000,1.542
trio-core,10,4,pack,180,200,1.000,0.000,0.000,0.970,11.9,0.00,0.030,1.000,1.544
trio-core,10,4,pack,300,200,1.000,0.000,0.000,0.968,11.9,0.00,0.032,1.000,1.544
trio-core,10,4,boss,180,200,1.000,0.000,0.000,0.952,23.9,0.00,0.048,1.000,1.535
trio-core,10,4,boss,300,200,1.000,0.000,0.000,0.954,24.0,0.00,0.046,1.000,1.536
trio-core,10,5,solo,180,200,1.000,0.000,0.000,0.915,3.2,0.00,0.085,1.000,1.516
trio-core,10,5,solo,300,200,1.000,0.000,0.000,0.917,3.1,0.00,0.083,1.000,1.517
trio-core,10,5,pack,180,200,1.000,0.000,0.000,0.981,16.2,0.00,0.019,1.000,1.550
