comp,level,tier,shape,limit,fights,winRate,timeoutRate,wipeRate,avgMarginWin,avgDurationWin,avgDowned,avgHpLostPct,tankTargetPct,expRewardMult
trio-core,5,7,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.497,0.000
trio-core,5,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.502,0.000
trio-core,5,7,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.357,0.000
trio-core,5,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.375,0.000
trio-core,5,8,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.486,0.000
trio-core,5,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.488,0.000
trio-core,5,8,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.489,0.000
trio-core,5,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.483,0.000
trio-core,5,8,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.274,0.000
trio-core,5,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.284,0.000
trio-core,10,1,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,1,pack,60,500,1.000,0.000,0.000,0.994,4.3,0.00,0.006,0.923,1.557
trio-core,10,1,pack,180,500,1.000,0.000,0.000,0.994,4.3,0.00,0.006,0.929,1.557
trio-core,10,1,boss,60,500,1.000,0.000,0.000,0.997,8.5,0.00,0.003,0.926,1.559
trio-core,10,1,boss,180,500,1.000,0.000,0.000,0.998,8.5,0.00,0.002,0.926,1.559
trio-core,10,2,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,2,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.560
trio-core,10,2,pack,60,500,1.000,0.000,0.000,0.955,6.8,0.00,0.045,0.825,1.537
trio-core,10,2,pack,180,500,1.000,0.000,0.000,0.952,6.8,0.00,0.048,0.824,1.535
trio-core,10,2,boss,60,500,1.000,0.000,0.000,0.934,13.5,0.00,0.066,0.501,1.526
trio-core,10,2,boss,180,500,1.000,0.000,0.000,0.933,13.5,0.00,0.067,0.499,1.525
trio-core,10,3,solo,60,500,1.000,0.000,0.000,0.967,1.3,0.00,0.033,1.000,1.543
trio-core,10,3,solo,180,500,1.000,0.000,0.000,0.966,1.3,0.00,0.034,1.000,1.542
trio-core,10,3,pack,60,500,1.000,0.000,0.000,0.843,11.0,0.02,0.157,0.655,1.479
trio-core,10,3,pack,180,500,1.000,0.000,0.000,0.844,10.8,0.01,0.156,0.651,1.479
trio-core,10,3,boss,60,500,0.986,0.014,0.000,0.780,21.0,0.07,0.222,0.426,1.425
trio-core,10,3,boss,180,500,1.000,0.000,0.000,0.782,22.7,0.09,0.218,0.448,1.447
trio-core,10,4,solo,60,500,1.000,0.000,0.000,0.855,2.9,0.00,0.145,1.000,1.484
trio-core,10,4,solo,180,500,1.000,0.000,0.000,0.853,2.9,0.00,0.147,1.000,1.484
trio-core,10,4,pack,60,500,0.020,0.018,0.962,0.626,23.8,2.93,0.985,0.397,0.027
trio-core,10,4,pack,180,500,0.006,0.008,0.986,0.659,32.8,2.98,0.994,0.379,0.008
trio-core,10,4,boss,60,500,0.000,0.010,0.990,—,—,2.99,0.998,0.633,0.000
trio-core,10,4,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.634,0.000
trio-core,10,5,solo,60,500,1.000,0.000,0.000,0.631,5.4,0.22,0.369,0.734,1.368
trio-core,10,5,solo,180,500,1.000,0.000,0.000,0.638,5.4,0.24,0.362,0.736,1.372
trio-core,10,5,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.473,0.000
trio-core,10,5,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.473,0.000
trio-core,10,5,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.408,0.000
trio-core,10,5,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.404,0.000
trio-core,10,6,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.420,0.000
trio-core,10,6,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.419,0.000
trio-core,10,6,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.463,0.000
trio-core,10,6,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.464,0.000
trio-core,10,6,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.432,0.000
trio-core,10,6,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.435,0.000
trio-core,10,7,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.443,0.000
trio-core,10,7,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.443,0.000
trio-core,10,7,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.441,0.000
trio-core,10,7,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.439,0.000
trio-core,10,7,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.426,0.000
trio-core,10,7,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.426,0.000
trio-core,10,8,solo,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.495,0.000
trio-core,10,8,solo,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.498,0.000
trio-core,10,8,pack,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.500,0.000
trio-core,10,8,pack,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.497,0.000
trio-core,10,8,boss,60,500,0.000,0.000,1.000,—,—,3.00,1.000,0.375,0.000
trio-core,10,8,boss,180,500,0.000,0.000,1.000,—,—,3.00,1.000,0.381,0.000
trio-core,20,1,solo,60,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,1,solo,180,500,1.000,0.000,0.000,1.000,0.0,0.00,0.000,—,1.620
trio-core,20,1,pack,60,500,1.000,0.000,0.000,0.990,1.0,0.00,0.010,1.000,1.615
